LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.223512,
CAN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.187562,
CZE,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.685061,
CZE,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.925186,
DNK,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.421048,
DNK,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.36314,
FIN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.581897,
FIN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.699219,
FRA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.362569,
FRA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.343979,
DEU,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.627059,
DEU,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.696143,
HUN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.540324,
HUN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.433256,
ISL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,4.411713,
ISL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,4.343693,
IRL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.168719,
IRL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.115561,
ITA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.926598,
ITA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.761434,
JPN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.34873,
JPN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.394859,
KOR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.128792,
KOR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.385564,
LUX,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.548102,
LUX,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.717215,
MEX,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.622181,
MEX,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.636233,
NLD,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.015791,
NLD,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.95676,
NZL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.991346,
NZL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.02081,
NZL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2020,3.369233,
NOR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,4.634337,
NOR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,4.586946,
POL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.796166,
POL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.78543,
PRT,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.314437,
PRT,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.294551,
SVK,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.504912,
SVK,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.724677,
ESP,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.612632,
ESP,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.649211,
SWE,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.971727,
SWE,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.936347,
GBR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.372756,
GBR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.412795,
USA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.221688,
USA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.216036,
BRA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.90078,
CHL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.001412,
CHL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.12007,
EST,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.967223,
EST,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.052532,
IND,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2020,2.944769,
ISR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,4.296573,
ISR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,4.272414,
RUS,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.276071,
SVN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.856948,
SVN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.835706,
ZAF,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,4.148211,
ZAF,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,4.287914,
ZAF,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2020,5.321553,
GRC,EDUPUBEXP,TRY,PC_GDP,A,2018,0.6626816,
GRC,EDUPUBEXP,TRY,PC_GDP,A,2019,0.6959597,
GRC,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.63378,
GRC,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.585999,
LUX,EDUPUBEXP,TRY,PC_GDP,A,2018,0.3832832,
LUX,EDUPUBEXP,TRY,PC_GDP,A,2019,0.4182125,
TUR,EDUPUBEXP,TRY,PC_GDP,A,2018,1.223392,
TUR,EDUPUBEXP,TRY,PC_GDP,A,2019,1.109696,
TUR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.452061,
TUR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.701437,
ARG,EDUPUBEXP,TRY,PC_GDP,A,2018,1.054178,
ARG,EDUPUBEXP,TRY,PC_GDP,A,2019,0.982155,
ARG,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.252565,
ARG,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.269071,
COL,EDUPUBEXP,TRY,PC_GDP,A,2018,0.7366614,
COL,EDUPUBEXP,TRY,PC_GDP,A,2019,0.450893,
COL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.204235,
COL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.429341,
LVA,EDUPUBEXP,TRY,PC_GDP,A,2018,0.688215,
LVA,EDUPUBEXP,TRY,PC_GDP,A,2019,0.7724215,
